Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),Most Recent SPL Date (YYYY/MM/DD),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed Link,DailyMed PDF Link,SET ID
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,20998,Celecoxib,CELECOXIB,20150720,Nonsteroidal Anti-inflammatory Drug,1998,BLENHEIM PHARMACAL INC,2015/07/20-,10544-929,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1b53f099-4eae-2ee2-e054-00144ff88e88/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1b53f099-4eae-2ee2-e054-00144ff88e88,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1b53f099-4eae-2ee2-e054-00144ff88e88,1b53f099-4eae-2ee2-e054-00144ff88e88
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,20998,Celecoxib,CELECOXIB,20150529,Nonsteroidal Anti-inflammatory Drug,1998,BLENHEIM PHARMCAL INC,2015/05/27-,10544-918,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1716195a-4c64-3612-e054-00144ff88e88/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1716195a-4c64-3612-e054-00144ff88e88,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1716195a-4c64-3612-e054-00144ff88e88,1716195a-4c64-3612-e054-00144ff88e88
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,20998,Celecoxib,CELECOXIB,20150519,Nonsteroidal Anti-inflammatory Drug,1998,BLENHEIM PHARMACAL INC,2015/05/19-,10544-917,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/167291dc-78ea-1346-e054-00144ff8d46c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=167291dc-78ea-1346-e054-00144ff8d46c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=167291dc-78ea-1346-e054-00144ff8d46c,167291dc-78ea-1346-e054-00144ff8d46c
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,20998,Celecoxib,CELECOXIB,20150327,Nonsteroidal Anti-inflammatory Drug,1998,AIDAREX PHARMACEUTICALS LLC,2014/12/10-,53217-156; 53217-157,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/41b4dd3f-844c-4f98-8a1c-6df13436b712/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=41b4dd3f-844c-4f98-8a1c-6df13436b712,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=41b4dd3f-844c-4f98-8a1c-6df13436b712,41b4dd3f-844c-4f98-8a1c-6df13436b712
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,20998,Celecoxib,CELECOXIB,20150320,Nonsteroidal Anti-inflammatory Drug,1998,BRYANT RANCH PREPACK,2014/12/10-,63629-5503,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/988113af-03cd-432e-8005-6a31005d97d2/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=988113af-03cd-432e-8005-6a31005d97d2,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=988113af-03cd-432e-8005-6a31005d97d2,988113af-03cd-432e-8005-6a31005d97d2
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,20998,Celecoxib,CELECOXIB,20150320,Nonsteroidal Anti-inflammatory Drug,1998,BRYANT RANCH PREPACK,2014/12/10-,63629-5504,JCX84Q7J1L,CELECOXIB,CELECOXIB,JCX84Q7J1L,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/16739138-117a-4569-9f65-d62546af4560/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=16739138-117a-4569-9f65-d62546af4560,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=16739138-117a-4569-9f65-d62546af4560,16739138-117a-4569-9f65-d62546af4560
HUMAN PRESCRIPTION DRUG LABEL,GEL,TOPICAL,NDA Authorized Generic,22122,Diclofenac Sodium,DICLOFENAC SODIUM,20191101,Nonsteroidal Anti-inflammatory Drug,1988,PROFICIENT RX LP,2016/07/01-,63187-753,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a7447467-79e0-436e-a273-d1ddd06169cf/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a7447467-79e0-436e-a273-d1ddd06169cf,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a7447467-79e0-436e-a273-d1ddd06169cf,a7447467-79e0-436e-a273-d1ddd06169cf
HUMAN PRESCRIPTION DRUG LABEL,GEL,TOPICAL,NDA Authorized Generic,22122,Diclofenac Sodium,DICLOFENAC SODIUM,20190417,Nonsteroidal Anti-inflammatory Drug,1988,LAKE ERIE MEDICAL DBA QUALITY CARE PRODUCTS LLC,2016/06/16-,55700-528,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/47adc0ba-7c09-4f22-b4ba-6641929f4793/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=47adc0ba-7c09-4f22-b4ba-6641929f4793,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=47adc0ba-7c09-4f22-b4ba-6641929f4793,47adc0ba-7c09-4f22-b4ba-6641929f4793
HUMAN PRESCRIPTION DRUG LABEL,GEL,TOPICAL,NDA Authorized Generic,21005,DICLOFENAC SODIUM,DICLOFENAC SODIUM,20181128,Nonsteroidal Anti-inflammatory Drug,,E FOUGERA AND CO A DIVISION OF FOUGERA PHARMACEUTICALS INC,2013/05/06-,0168-0844,QTG126297Q,diclofenac sodium,diclofenac,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1088cda3-a4d7-447b-9199-fb3aebc34f8f/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1088cda3-a4d7-447b-9199-fb3aebc34f8f,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1088cda3-a4d7-447b-9199-fb3aebc34f8f,1088cda3-a4d7-447b-9199-fb3aebc34f8f
HUMAN PRESCRIPTION DRUG LABEL,GEL,TOPICAL,NDA Authorized Generic,22122,Diclofenac Sodium,DICLOFENAC SODIUM,20180409,Nonsteroidal Anti-inflammatory Drug,1988,NUCARE PHARMACEUTICALS INC,2016/07/01-,68071-4382,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/696d0623-e483-6d47-e053-2a91aa0aa5bc/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=696d0623-e483-6d47-e053-2a91aa0aa5bc,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=696d0623-e483-6d47-e053-2a91aa0aa5bc,696d0623-e483-6d47-e053-2a91aa0aa5bc
HUMAN PRESCRIPTION DRUG LABEL,GEL,TOPICAL,NDA Authorized Generic,22122,Diclofenac Sodium,DICLOFENAC SODIUM,20180221,Nonsteroidal Anti-inflammatory Drug,1988,PAR PHARMACEUTICAL INC,2016/07/01-,49884-935,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d240f348-8a14-4f62-9815-a760f02b4f4f/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d240f348-8a14-4f62-9815-a760f02b4f4f,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d240f348-8a14-4f62-9815-a760f02b4f4f,d240f348-8a14-4f62-9815-a760f02b4f4f
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA Authorized Generic,20254,Diclofenac Sodium,DICLOFENAC SODIUM,20170522,Nonsteroidal Anti-inflammatory Drug,,BRYANT RANCH PREPACK,1996/03/08-,63629-5096,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/b3d2ceba-34b3-419f-808b-e10cf0c15a3a/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b3d2ceba-34b3-419f-808b-e10cf0c15a3a,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b3d2ceba-34b3-419f-808b-e10cf0c15a3a,b3d2ceba-34b3-419f-808b-e10cf0c15a3a
HUMAN PRESCRIPTION DRUG LABEL,GEL,TOPICAL,NDA Authorized Generic,22122,Diclofenac Sodium,DICLOFENAC SODIUM,20170519,Nonsteroidal Anti-inflammatory Drug,1988,BRYANT RANCH PREPACK,2016/07/01-,63629-7069,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/cb227c0a-18aa-4a22-8e63-30f94746489e/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cb227c0a-18aa-4a22-8e63-30f94746489e,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=cb227c0a-18aa-4a22-8e63-30f94746489e,cb227c0a-18aa-4a22-8e63-30f94746489e
HUMAN PRESCRIPTION DRUG LABEL,GEL,TOPICAL,NDA Authorized Generic,21005,DICLOFENAC SODIUM,DICLOFENAC SODIUM,20160520,Nonsteroidal Anti-inflammatory Drug,,E FOUGERA AND CO A DIVISION OF FOUGERA PHARMACEUTICALS INC,2013/05/06-,0168-0803,QTG126297Q,diclofenac sodium,diclofenac,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/84036afa-c95a-4a66-9782-2801b3d221af/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=84036afa-c95a-4a66-9782-2801b3d221af,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=84036afa-c95a-4a66-9782-2801b3d221af,84036afa-c95a-4a66-9782-2801b3d221af
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA Authorized Generic,20254,Diclofenac Sodium,DICLOFENAC SODIUM,20141202,Nonsteroidal Anti-inflammatory Drug,,RXCHANGE CO,2014/11/26-,33358-451,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/01e92b73-8271-4028-8a74-c236e3b55db8/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=01e92b73-8271-4028-8a74-c236e3b55db8,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=01e92b73-8271-4028-8a74-c236e3b55db8,01e92b73-8271-4028-8a74-c236e3b55db8
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA Authorized Generic,20254,Diclofenac Sodium,DICLOFENAC SODIUM,20130601,Nonsteroidal Anti-inflammatory Drug,,SANDOZ INC,1996/03/08-,0781-1381,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/93879f33-d484-471d-94e2-a5ba37eb44d5/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=93879f33-d484-471d-94e2-a5ba37eb44d5,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=93879f33-d484-471d-94e2-a5ba37eb44d5,93879f33-d484-471d-94e2-a5ba37eb44d5
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA Authorized Generic,20607,Diclofenac sodium and Misoprostol,DICLOFENAC SODIUM AND MISOPROSTOL,20170727,Nonsteroidal Anti-inflammatory Drug; Prostaglandin E1 Analog,1997,GREENSTONE LLC,2012/11/01-,59762-0028; 59762-0029,0E43V0BB57; QTG126297Q,DICLOFENAC SODIUM; MISOPROSTOL,DICLOFENAC; MISOPROSTOL,0E43V0BB57; 144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a7701e8c-4e16-4165-8b83-de2c08d5ded3/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a7701e8c-4e16-4165-8b83-de2c08d5ded3,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a7701e8c-4e16-4165-8b83-de2c08d5ded3,a7701e8c-4e16-4165-8b83-de2c08d5ded3
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,17604,Fenoprofen Calcium,FENOPROFEN CALCIUM,20200119,Nonsteroidal Anti-inflammatory Drug,1982,BRYANT RANCH PREPACK,2016/05/19-,71335-0307,0X2CW1QABJ,FENOPROFEN CALCIUM,FENOPROFEN,RA33EAC7KY,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/209fdde4-6ab5-4b64-8d03-4a8078b76946/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=209fdde4-6ab5-4b64-8d03-4a8078b76946,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=209fdde4-6ab5-4b64-8d03-4a8078b76946,209fdde4-6ab5-4b64-8d03-4a8078b76946
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,17604,Fenoprofen Calcium,FENOPROFEN CALCIUM,20171129,Nonsteroidal Anti-inflammatory Drug,1982,XSPIRE PHARMA,2016/05/19-,42195-100,0X2CW1QABJ,FENOPROFEN CALCIUM,FENOPROFEN,RA33EAC7KY,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/ef59e72f-6218-4f42-8f00-d10a6a14223a/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ef59e72f-6218-4f42-8f00-d10a6a14223a,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ef59e72f-6218-4f42-8f00-d10a6a14223a,ef59e72f-6218-4f42-8f00-d10a6a14223a
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,17604,Fenoprofen Calcium,FENOPROFEN CALCIUM,20170222,Nonsteroidal Anti-inflammatory Drug,1982,AIDAREX PHARMACEUTICALS LLC,2016/05/19-,53217-169,0X2CW1QABJ,FENOPROFEN CALCIUM,FENOPROFEN,RA33EAC7KY,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/7bf7114a-b053-46cc-9e00-dc3cc87b50a9/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7bf7114a-b053-46cc-9e00-dc3cc87b50a9,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7bf7114a-b053-46cc-9e00-dc3cc87b50a9,7bf7114a-b053-46cc-9e00-dc3cc87b50a9
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA Authorized Generic,17604,FENORTHO,FENORTHO,20170321,Nonsteroidal Anti-inflammatory Drug,1982,STERLING KNIGHT PHARMACEUTICALS LLC,2017/03/21-,69336-113,0X2CW1QABJ,FENOPROFEN CALCIUM,FENOPROFEN,RA33EAC7KY,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/8ca03d72-6c10-4c62-94c5-bf1edd164bf4/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8ca03d72-6c10-4c62-94c5-bf1edd164bf4,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=8ca03d72-6c10-4c62-94c5-bf1edd164bf4,8ca03d72-6c10-4c62-94c5-bf1edd164bf4
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION/ DROPS,OPHTHALMIC,NDA Authorized Generic,19404,FLURBIPROFEN SODIUM,FLURBIPROFEN SODIUM,20111213,Nonsteroidal Anti-inflammatory Drug,,REBEL DISTRIBUTORS CORP,1997/05/29-,42254-023,Z5B97MU9K4,flurbiprofen sodium,flurbiprofen,5GRO578KLP,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/043665e5-c6e0-4353-9933-6ba9e4860842/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=043665e5-c6e0-4353-9933-6ba9e4860842,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=043665e5-c6e0-4353-9933-6ba9e4860842,043665e5-c6e0-4353-9933-6ba9e4860842
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,INTRAVENOUS,NDA Authorized Generic,21903,Ibuprofen Lysine,IBUPROFEN LYSINE,20191205,Nonsteroidal Anti-inflammatory Drug,1974,PRASCO LABORATORIES,2016/04/14-,66993-490,N01ORX9D6S,IBUPROFEN LYSINE,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/307431c7-12de-21e5-e054-00144ff88e88/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=307431c7-12de-21e5-e054-00144ff88e88,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=307431c7-12de-21e5-e054-00144ff88e88,307431c7-12de-21e5-e054-00144ff88e88
